GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CampusStore,com.campusstore.api.controller,CrawlerController,4,91,4,4,0,25,4,6,0,6
CampusStore,com.campusstore.api.controller,UserPreferenceController,0,40,0,0,0,9,0,4,0,4
CampusStore,com.campusstore.api.controller,UserAdminController,43,177,16,16,8,42,13,10,0,7
CampusStore,com.campusstore.api.controller,RequestController,27,159,11,9,3,36,11,10,1,10
CampusStore,com.campusstore.api.controller,SearchController,3,76,2,8,0,18,2,7,0,4
CampusStore,com.campusstore.api.controller,EmailOutboxController,0,45,0,0,0,13,0,3,0,3
CampusStore,com.campusstore.api.controller,CategoryController,1,36,1,1,0,11,1,3,0,3
CampusStore,com.campusstore.api.controller,PolicyAdminController,5,68,2,2,1,16,2,4,0,4
CampusStore,com.campusstore.api.controller,ZoneController,2,55,2,2,0,18,2,4,0,4
CampusStore,com.campusstore.api.controller,PublicCategoryController,0,12,0,0,0,4,0,2,0,2
CampusStore,com.campusstore.api.controller,NotificationController,4,68,4,4,0,16,4,5,0,5
CampusStore,com.campusstore.api.controller,AuthController,7,205,1,3,0,50,2,6,1,5
CampusStore,com.campusstore.api.controller,ProfileController,31,397,12,12,0,111,12,16,0,16
CampusStore,com.campusstore.api.controller,BrowsingController,4,72,4,4,0,18,4,5,0,5
CampusStore,com.campusstore.api.controller,AuditController,8,32,2,2,0,8,2,2,0,2
CampusStore,com.campusstore.api.controller,PolicyAdminController.UpdatePolicyRequest,4,13,0,0,1,4,1,4,1,4
CampusStore,com.campusstore.api.controller,DepartmentController,1,34,1,1,0,10,1,3,0,3
CampusStore,com.campusstore.api.controller,WarehouseController,17,130,5,5,3,37,5,7,0,7
CampusStore,com.campusstore.api.controller,NotificationPreferenceController,0,45,0,2,0,14,0,4,0,3
CampusStore,com.campusstore.api.controller,InventoryController,15,89,4,2,2,30,4,5,1,5
CampusStore,com.campusstore.core.domain.event,AccessDeniedException,0,4,0,0,0,2,0,1,0,1
CampusStore,com.campusstore.core.domain.event,ResourceNotFoundException,4,7,0,0,2,2,1,1,1,1
CampusStore,com.campusstore.core.domain.event,ConflictException,0,4,0,0,0,2,0,1,0,1
CampusStore,com.campusstore.core.domain.event,BusinessException,5,4,0,0,2,2,1,1,1,1
CampusStore,com.campusstore.core.port.inbound,CrawlerUseCase.CrawlerJobView,30,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,WarehouseUseCase.PutawayResult,15,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,AuthenticationUseCase.CurrentUser,15,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,NotificationUseCase.NotificationPrefView,12,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,WarehouseUseCase.PutawayRequest,15,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,AuditUseCase.AuditEntryView,30,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,WarehouseUseCase.PickStop,15,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,EmailOutboxUseCase.OutboxEntryView,24,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,NotificationUseCase.NotificationPrefCommand,12,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,ProfileUseCase.UpdateProfileCommand,18,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,NotificationUseCase.OutboxEntry,30,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,UserManagementUseCase.UserView,27,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,WarehouseUseCase.SimulationResult,18,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,CrawlerUseCase.ThresholdCheckResult,18,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,ProfileUseCase.AddAddressCommand,21,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,UserManagementUseCase.UpdateUserCommand,15,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,SearchUseCase.SearchHistoryEntry,15,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,InventoryUseCase.CreateItemCommand,39,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,AuditUseCase.AuditQuery,18,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,CategoryUseCase.CategoryView,15,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,DepartmentUseCase.DepartmentView,12,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,ProfileUseCase.ProfileView,27,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,ZoneUseCase.ZoneView,18,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,InventoryUseCase.ItemFilterCriteria,21,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,WarehouseUseCase.CreateLocationCommand,27,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,SearchUseCase.SearchQuery,33,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,InventoryUseCase.UpdateItemCommand,39,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,SearchUseCase.SearchResult,24,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,CrawlerUseCase.CrawlerFailureView,18,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,NotificationUseCase.NotificationView,33,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,WarehouseUseCase.PickPathResult,9,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,RequestUseCase.RequestView,51,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,CrawlerUseCase.CreateCrawlerJobCommand,18,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,WarehouseUseCase.SimulationRequest,12,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,WarehouseUseCase.LocationView,33,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,ProfileUseCase.AddressView,24,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,InventoryUseCase.ItemView,54,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,ProfileUseCase.PreferencesView,12,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,UserManagementUseCase.CreateUserCommand,24,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore.core.port.inbound,AuthenticationUseCase.AuthResult,15,0,0,0,1,0,1,0,1,0
CampusStore,com.campusstore,CampusStoreApplication,5,3,0,0,2,1,1,1,1,1
CampusStore,com.campusstore.infrastructure.security.filter,RateLimitFilter.ViolationTracker,0,9,0,0,0,2,0,1,0,1
CampusStore,com.campusstore.infrastructure.security.filter,RateLimitFilter,93,371,25,39,19,80,20,25,1,11
CampusStore,com.campusstore.api.dto,PersonalizationRequest,0,10,0,0,0,5,0,3,0,3
CampusStore,com.campusstore.api.dto,UpdateProfileRequest,14,24,0,0,6,11,4,7,4,7
CampusStore,com.campusstore.api.dto,ProfileResponse,0,66,0,0,0,19,0,19,0,19
CampusStore,com.campusstore.api.dto,SetZoneDistanceRequest,0,24,0,0,0,11,0,7,0,7
CampusStore,com.campusstore.api.dto,PagedResponse,65,47,10,0,11,18,16,7,11,7
CampusStore,com.campusstore.api.dto,DndRequest,2,50,3,9,0,11,3,10,0,7
CampusStore,com.campusstore.api.dto,NotificationPrefRequest,0,10,0,0,0,5,0,3,0,3
CampusStore,com.campusstore.api.dto,ContactResponse,0,66,0,0,0,19,0,19,0,19
CampusStore,com.campusstore.api.dto,ApiResponse.FieldError,11,15,0,0,3,6,3,3,3,3
CampusStore,com.campusstore.api.dto,PickPathRequest,0,10,0,0,0,5,0,3,0,3
